======================================================================
Semantic Tag Audit Report — Gemini-powered
Generated: 2026-03-15 19:28:26
======================================================================

Total audited:  3194
Correct:        1946
Incorrect:      1248
API errors:     360

BY TAG:
  Tag              Total  Correct  Incorrect  Error%
  --------------------------------------------------
  animal             417      285        132   31.7%
  body               495      321        174   35.2%
  celestial          267      144        123   46.1%
  clothing           218      110        108   49.5%
  color              179      161         18   10.1%
  food               322      199        123   38.2%
  number             367       92        275   74.9%
  plant              292      224         68   23.3%
  speech             147      103         44   29.9%
  tool               238      114        124   52.1%
  water              252      193         59   23.4%

INCORRECT TAGS (to be removed):
  Headword                  Tag          Reason                                  
  raakiiraʔuk               clothing     This describes the action of stringing b
  raarakaahki               clothing     While hide can be used for clothing, the
  raaruuhc                  clothing     To 'be rusty' has no relation to clothin
  raawikirikaaʔat           clothing     This describes the action of observing o
  raawirariiraʔuk           clothing     This describes the action of drawing, no
  raawisuʔ                  clothing     While paint can be used on clothing, the
  racapirat                 clothing     This describes the action of grating foo
  racapiraʔa                clothing     This describes the action of processing 
  racariipuh                clothing     This describes the action of tying a bun
  racawakta/taa             clothing     This describes the action or sound of a 
  rahkariipuh               clothing     This describes the action of tying a bun
  rahkatapiraʔa             clothing     This describes the action of processing 
  rahkiihkaʔuuc/uc-         clothing     This describes the action of weaving, no
  rahpahaahaʔuk             clothing     This describes the action of making some
  rahuuwicat                clothing     This describes the action of being caref
  raʔuk                     clothing     This is a general verb for making or con
  riicawirikisa             clothing     This is a general verb of motion, not sp
  riikaciituʔ               clothing     A squash mat is not an item of clothing.
  riikakuspiruuʔat          clothing     Refers to opening doors or tent flaps, n
  riisaapiʔuʔ               clothing     Refers to stakes for tipi covers or hors
  riisaapuh                 clothing     Refers to staking down covers, not cloth
  ripaaraar                 clothing     This is a general verb for hiding or con
  siistaatuʔ                clothing     Bulrush is a plant, not clothing.       
  taahuruus                 clothing     A general 'hoop' or 'ring' is not inhere
  taarikiihk                clothing     This is a general verb for hanging, not 
  taawiruus                 clothing     Refers to an implement for a game, not c
  takasis                   clothing     Describes a state of density or closenes
  takickuut                 clothing     Refers to the spoilage of plant matter, 
  takickuuʔat               clothing     Refers to the spoilage of food, not clot
  takipiir                  clothing     This is a general description of being w
  takipuh                   clothing     Refers to closing objects like suitcases
  takuusk                   clothing     This is a general verb for attaching, an
  tarahkisiciisparik        clothing     This is a general verb for exhausting or
  tawakta/taa               clothing     'ring' here refers to a sound (as a cloc
  tawaktaarik               clothing     'ring' here refers to a sound (as with a
  tawuh                     clothing     'tie on' is a general verb of attachment
  uhuriiwaawarik            clothing     'weave' in this context refers to a gene
  uuwatkawiʔuʔ              clothing     'outer ring' refers to a spatial boundar
  wiiwarii                  clothing     'weave' here refers to a general back-an
  wiiwarii                  clothing     'weave back and forth' refers to a gener
  wirariihuraʔuk            clothing     This is a general verb for drawing or pa
  akaraahuuruuhtuʔ          color        'white' refers to the ethnicity of settl
  karahkaac                 color        The definition 'donkey' refers to an ani
  katiictakaawaahak         color        To 'black out' in this context means to 
  kawahki                   color        The main meaning is an animal (magpie), 
  kipaar                    color        The definition describes states of wetne
  kipiriir                  color        While 'green' is mentioned, it refers to
  kipiriiruʔ                color        Similar to the previous entry, 'green co
  kirikaac                  color        The definition describes a medical condi
  kiwakuʔ                   color        The main meaning is a generic animal (fo
  kstituuc                  color        The main meaning is an animal (flicker, 
  paakis                    color        The definition describes an animal ('buf
  pahuksacaciks             color        The definition describes a plant ('buffa
  pakskaatiit               color        The definition describes a nationality (
  parusasuʔ                 color        The definition describes a plant ('bush-
  rikiiskiic                color        'White' refers to 'white settlers', not 
  rutkariis                 color        'Black snake' is given as an example, no
  tarat                     color        The definition is about the action of sl
  uutkasis                  color        The word refers to an animal (quail), no
  Ckiriraara                food         The word refers to a place name, not foo
  Kicpiirahaatus            food         The word refers to a place name, not foo
  Tuhkiicahiihtuʔ           food         The word refers to a place name, not foo
  aaracaʔiwuu               food         The definition describes a body action (
  ahihaʔuk                  food         The definition describes the action of m
  ahiht                     food         The definition describes a physical stat
  ahihtaar                  food         The definition describes a change in phy
  akarahkata                food         Buckskin is animal hide, not typically f
  akarawiisuʔ, akarawis     food         Tipi covers and tent covers are not food
  apiic                     food         This describes a location or direction, 
  ariikicparik              food         To wring out is an action, not a food it
  aruhaʔuk                  food         To soften is a verb describing a change 
  asaarahkata               food         A horse is an animal, not food in this c
  asahi                     food         Mink and water dog are animals, not food
  asawiitik                 food         This describes an action involving a bod
  askiiskatawicaku          food         A flesher is a tool, not a food item, ev
  awakiks, tawakiks         food         A water monster is a mythological creatu
  awihaʔuukuk               food         This describes an action of movement, no
  ckarucki                  food         While paunch can be food, here it's spec
  ha-, haa-                 food         This is a locative prefix, not food.    
  haahkahaaruʔ              food         These are geographical features or chann
  haahkahaaruʔat            food         Describes being a geographical feature o
  haahkahuuruʔ              food         These are geographical features or chann
  haarik                    food         The definition describes a state of bein
  haaʔat                    food         The definition describes a motion in wat
  hakus                     food         The definition describes a state of bein
  hakuusk                   food         The definition describes placing somethi
  haruuc                    food         The definition describes a state of bein
  hasa                      food         The definition describes a state of bein
  haskiiruʔ                 food         While rawhide can be processed into food
  hatkaahuuruʔ              food         The definition describes a type of hole,
  hawiitik                  food         The definition describes an action in wa
  hawiʔuuhak                food         The definition describes falling into wa
  haʔiir                    food         The definition describes placing somethi
  haʔiisat                  food         The definition describes a motion into w
  haʔuuc/uc-                food         The definition describes placing somethi
  haʔuukuk                  food         The definition describes a motion into w
  hiriitik                  food         The definition describes actions in wate
  hukaata-                  food         The definition describes a location rela
  hukaatahaahiriʔ           food         The definition describes a location rela
  hukaatahaaruʔ             food         The definition describes a geographical 
  hukaatawiʔuʔ              food         The definition describes a geographical 
  hukaka-                   food         The definition describes a direction or 
  hukakaa-                  food         The definition describes location/direct
  hukakaawihiriʔ            food         The definition describes location/direct
  hukakawihiriʔ             food         The definition describes location/direct
  huraakiicuʔ               food         Snow water is just water, not a food ite
  huu-                      food         The definition describes movement/locati
  huuca-                    food         The definition describes location, not f
  huucakarus                food         Describes a state of being, not primaril
  huucakus                  food         The definition describes location, not f
  huucakusaaʔat             food         The definition describes an action on wa
  huucakusat                food         The definition describes an action on wa
  huucakusuuʔat             food         The definition describes an action on wa
  huucasa                   food         The definition describes an action on wa
  huukaahaaruʔ              food         The definition describes a geographical 
  huukaawiʔuʔ               food         The definition describes a location/stat
  huukata(wi)-              food         The definition describes direction/locat
  huuʔat                    food         The definition describes movement in wat
  huuʔiitik                 food         The definition describes movement in wat
  kaaciks                   food         The definition describes a state of bein
  kaaciks                   food         The definition describes a state of bein
  karaaricakus              food         Describes a physical state of a person (
  kica                      food         Describes water as a natural element in 
  kicahaasta                food         Refers to a plant, not explicitly food. 
  kicawihuukaaraʔa          food         Describes pumping water, not water as fo
  kiciʔiihak                food         Describes a state of a container with li
  kickaa                    food         Describes liquid in a container, not pri
  kickaʔukuk                food         Describes water dripping, not related to
  kickus                    food         A body of water (pool, puddle) describes
  kictahiis                 food         This describes the absence or state of w
  kictakaahak               food         This is a verb describing the movement o
  kictiihak                 food         This describes a geographical feature (b
  kicuuhiriʔ                food         This describes a location relative to wa
  kicuutaʔa                 food         This describes the movement or state of 
  kiicat                    food         This is a verb describing the movement o
  kiicuʔat                  food         This describes the movement or state of 
  kiirihuur                 food         This describes a characteristic of a bod
  kiparaʔuk                 food         This is a general verb meaning 'to make 
  kiraawiik/kirawiik        food         This is a general action of 'dipping a l
  kirahkaa, kiirahkaa       food         This describes the state of a container 
  kiraraah                  food         This describes the action of carrying or
  kitarikuk                 food         While 'vegetable' is mentioned, the prim
  kiwahaar                  food         This describes a geographical body of wa
  kiwahaaruʔ                food         This describes a geographical body of wa
  kskiikaraakuʔ             food         Leaves are a general botanical term; not
  kurituukatawiʔuʔ          food         Lamps and lanterns are lighting devices,
  kuruks                    food         A 'boil' or 'carbuncle' refers to a skin
  paca                      food         This describes a physical lump or swelli
  parihik                   food         The definition describes appearance (sle
  parusasuʔ                 food         The definition refers to a plant (bush-c
  pirakus                   food         The definition describes a shape (crooke
  raakicawihuukaarahu       food         The definition refers to a 'pump, well o
  raariiwiʔuʔ               food         The definition refers to 'water moss, al
  raariwahtii               food         The definition refers to a state or cond
  raaruuhc                  food         The definition describes a state (rusty)
  raasitkiicuʔ              food         The definition refers to 'ice water', wh
  raawihtakiituʔ            food         The definition describes 'cloth', not fo
  raawis                    food         The definition describes a quality (smok
  raawiskaaricaahiks        food         The definition refers to 'Indian tobacco
  racaʔus                   food         The definition refers to a state (hungry
  rapatiis                  food         A smoking pipe is for tobacco, not food.
  rikatahak                 food         General verb of removal, not specificall
  rikatawihak               food         General verb of passing/showing, not spe
  ripiikiicuʔ               food         Describes a geographical feature (water 
  riwaacta                  food         Describes a plant's growth stage, not fo
  riwiruu                   food         General description of shape, not specif
  rutki rahaawarii          food         Describes an animal, not food.          
  ruuhkickahaarawiriira     food         Describes personal care products, not fo
  ta                        food         The definition describes a general state
  taahiis                   food         The definition describes a general state
  taakis                    food         The definition 'buckskin for leggings; d
  takac-                    food         The definition describes the action of f
  takacat                   food         The definition describes the action of g
  takaruus                  food         The definition describes a general state
  takus                     food         The definition describes the general act
  tawaa                     food         The definition describes the general sta
  tawakiks, awakiks         food         The definition 'water monster, a mytholo
  tawiitik                  food         The definition describes a bird's action
  taʔuuc/uc-                food         The definition describes the action of a
  uhtatahaahiriʔ            food         Definition describes a location, not foo
  uhuuwiʔat                 food         Definition describes an action, not food
  waawaʔis                  food         Definition describes a general action, n
  Arikaraariki              number       'Many' is part of a proper noun, not a n
  aahkacaraʔuk              number       'one's' is a possessive pronoun, not a n
  aahkarahwaasar            number       'one's' is a possessive pronoun, not a n
  aahkarahwaasariitik       number       'one's' is a possessive pronoun, not a n
  aahkawiʔuʔ                number       Definition has no relation to numbers.  
  aahwirik                  number       'one's' is a possessive pronoun, not a n
  aar ciksuʔ                number       Definition has no relation to numbers.  
  aar ciksuʔ                number       Definition has no relation to numbers.  
  aaracaʔiwuu               number       'one's' is a possessive pronoun, not a n
  aarahkicawakta/taa        number       'one's' is a possessive pronoun, not a n
  aciks                     number       'one's' and 'one' are pronouns, not numb
  aciksawiʔiik              number       Definition has no relation to numbers.  
  aciksawiʔiikiwatak        number       'one's' is a possessive pronoun, not a n
  aciksawiʔuusiktik         number       'one' is a pronoun, not a number.       
  aciksiciisat              number       'one' is a pronoun, not a number.       
  aciksikiriwiihaʔuk        number       'one's' is a possessive pronoun, not a n
  acikskaawiraah            number       'oneself' and 'one' are pronouns, not nu
  acikskakiis               number       'one' is a pronoun, not a number.       
  acikskariwaah             number       'one's' is a pronoun, and 'many' is a qu
  acikskarusik              number       The word 'one' refers to an unspecified 
  acikskasa                 number       The word 'one's' is a possessive pronoun
  acikstat                  number       The word 'one's' is a possessive pronoun
  acikstaʔuk                number       The words 'one's' and 'oneself' are pron
  acikstiihac               number       The word 'one's' is a possessive pronoun
  aciksuhuriihac            number       The word 'one's' is a possessive pronoun
  aciksuhuritik             number       The definition does not contain any nume
  aciksuhuriwaar [+ neg.]   number       The word 'one' refers to a person, not a
  aciksuhuruu               number       The word 'one's' is a possessive pronoun
  aciksurahac               number       The word 'one's' is a possessive pronoun
  aciksuu                   number       The words 'one's' and 'one' are pronouns
  ackurus                   number       The word 'one's' is a possessive pronoun
  ahitkarusik               number       The word 'one's' is a possessive pronoun
  ahitkaruusawiʔat          number       The word 'one's' is a possessive pronoun
  akahuukitawiʔuʔ           number       The definition does not contain any nume
  akaraahuuruuhtuʔ          number       The word 'one' refers to the house, not 
  akarawiisuʔ, akarawis     number       The word 'one' refers to the cover, not 
  akarikus                  number       The word 'one's' is a possessive pronoun
  akaʔuk                    number       The word 'one's' is a possessive pronoun
  akitaar                   number       The word 'one's' is a possessive pronoun
  apakus                    number       The word 'one' refers to a person, not a
  arika                     number       The definition does not contain any nume
  arikatakustaah            number       The word 'one's' is a possessive pronoun
  asaakaapiraat             number       The word 'one' refers to the horse, not 
  asaar                     number       The word 'one's' is a possessive pronoun
  asaaruʔ                   number       The definition does not contain any nume
  asawiitik                 number       While 'one foot' specifies a single foot
  aspaara-                  number       The word 'one's' is a possessive pronoun
  aspaarasa                 number       The word 'one's' is a possessive pronoun
  aspiitik                  number       The word 'one's' is a possessive pronoun
  asuhuuruʔ                 number       The definition does not contain a numeri
  asukaaʔa                  number       The word 'one's' is a possessive pronoun
  asurahpicistaʔuk          number       The word 'one's' is a possessive pronoun
  asuʔat                    number       The word 'one's' is a possessive pronoun
  atiraʔ                    number       The word 'one's' is a possessive pronoun
  awiicawatkaʔiir           number       The word 'one's' is a possessive pronoun
  awikusis                  number       The word 'one's' is a possessive pronoun
  awirihuur                 number       The definition does not contain a numeri
  awitarahkiis/kis          number       The word 'one's' is a possessive pronoun
  awitariic                 number       The word 'one's' is a possessive pronoun
  awitawaruk                number       The word 'one's' is a possessive pronoun
  cakahuuruʔ                number       The phrase 'one who' refers to a person,
  ciksuhuuruʔ               number       The words 'one's' and 'one feels' refer 
  ciksuʔ                    number       The definition does not contain a numeri
  haa                       number       The word 'one's' is a possessive pronoun
  haahka                    number       The phrase 'one object' uses 'one' as an
  haahkahaaruhak            number       The phrase 'one alongside' uses 'one' as
  haakarata                 number       The word 'one's' is a possessive pronoun
  haakatakipiitik           number       The word 'one's' is a possessive pronoun
  haaskiica                 number       The word 'one's' is a possessive pronoun
  hactawiʔat                number       The word 'one's' is a possessive pronoun
  haspaaksuʔ                number       The tag was triggered by 'one's' which i
  hastakiituʔ               number       The tag was triggered by 'one' which is 
  hatkahuurat               number       The tag was triggered by 'one's' which i
  hatkatatawiir-i           number       The tag was triggered by 'one's' which i
  hatkicpakta/taa           number       The tag was triggered by 'one's' which i
  hatkiraar                 number       The tag was triggered by 'one' and 'one'
  haturaahpiraarik          number       The definition does not contain any nume
  hawat                     number       The definition does not contain any nume
  hiikuʔ, hiikusuʔ          number       The definition does not contain any nume
  hiirik                    number       The tag was triggered by 'one' which is 
  hiitka                    number       The tag was triggered by 'one's' which i
  hikaawat                  number       The tag was triggered by 'one' and 'one'
  hisii                     number       The definition does not contain any nume
  hukaa                     number       The tag was triggered by 'one's' which i
  hukata                    number       The tag was triggered by 'one' which is 
  hukataahpii-              number       The tag was triggered by 'one's' which i
  hukataahpiiraah           number       The tag was triggered by 'one's' which i
  hukataahpuh               number       The tag was triggered by 'one's' which i
  huraahwaarukstii          number       The tag was triggered by 'one' which is 
  hurariir                  number       The tag was triggered by 'one' which is 
  huuk(u)-                  number       The tag was triggered by 'one's' which i
  huukitawuh                number       The definition does not contain any nume
  huuktik                   number       'one's' is a possessive pronoun, not a n
  huukuraah                 number       'one's' is a possessive pronoun, not a n
  huurasaar                 number       'one's' is a possessive pronoun, not a n
  icapikstikaaʔat           number       'one's' is a possessive pronoun, not a n
  icawatka-                 number       'one's' is a possessive pronoun, not a n
  icaʔuuc/uc-               number       The definition does not contain any nume
  iciirat                   number       'one's' is a possessive pronoun, not a n
  icir-, iciir-             number       'one's' is a possessive pronoun, not a n
  icis                      number       'one's' is a possessive pronoun, not a n
  ickahak                   number       'one's' is a possessive pronoun, not a n
  ickawaraaciks             number       'one's' is a possessive pronoun, not a n
  ickawiʔat                 number       'one's' is a possessive pronoun, not a n
  ickaʔiir                  number       'one's' is a possessive pronoun, not a n
  ickiistaʔat               number       'one's' is a possessive pronoun, not a n
  icuuhaarukac              number       'one's' is a possessive pronoun, not a n
  ikiraahak                 number       The definition does not contain any nume
  ikiriwiihaʔuk             number       The definition does not contain any nume
  iksa                      number       'one's' is a possessive pronoun, not a n
  iksawuu                   number       'one's' is a possessive pronoun, not a n
  ikskaa                    number       'one's' is a possessive pronoun, not a n
  ikskariwiiʔaar            number       'one's' is a possessive pronoun, not a n
  ikskawiʔat                number       'one's' is a possessive pronoun, not a n
  ikskaʔat                  number       'one's' is a possessive pronoun, not a n
  ikstaah                   number       'one's' is a possessive pronoun, not a n
  ikstahkatapaktaarik       number       The word 'one's' refers to a possessive 
  ikstat                    number       The word 'one's' refers to a possessive 
  ikstawiʔa                 number       The word 'one' refers to an indefinite p
  ikstawiʔat                number       The word 'one' refers to an indefinite p
  ikstaʔuukuk               number       The word 'one's' refers to a possessive 
  ikstiihuruu               number       The word 'one's' refers to a possessive 
  ikstiwiiʔaar              number       The word 'one's' refers to a possessive 
  iksucaʔa                  number       The word 'one's' refers to a possessive 
  iksuhuraar                number       The phrase 'one hand' specifies a quanti
  iksuʔat                   number       The word 'one's' refers to a possessive 
  iraaha                    number       The phrase 'one side' specifies a spatia
  iraahawi-                 number       The phrase 'one's side' refers to a spat
  iri-                      number       The word 'one' refers to a pronoun, not 
  irikata-                  number       The word 'one's' refers to a possessive 
  irikisat                  number       The word 'one's' refers to a possessive 
  iripiita-                 number       The word 'one's' refers to a possessive 
  iripiitata-               number       The word 'one's' refers to a possessive 
  iriraaku                  number       The word 'one' refers to a pronoun, not 
  iriwiraahak               number       The phrase 'one side' specifies a spatia
  itkahaariwiitik           number       The word 'one' refers to an indefinite p
  itkaspaawaktiik/tik-      number       The word 'one's' refers to a possessive 
  kaaʔiis-                  number       The word 'one's' refers to a possessive 
  kaaʔiis-                  number       The word 'one's' refers to a possessive 
  kaaʔiisa                  number       The word 'one's' refers to a possessive 
  kaaʔiisa                  number       The word 'one's' refers to a possessive 
  kaaʔiisat                 number       The word 'one's' refers to a possessive 
  kaaʔiisat                 number       The word 'one's' refers to a possessive 
  kactahkata                number       The word 'four' is part of a plant's com
  kakaʔuc                   number       The main meaning is 'chew, bite', 'sever
  karahaar                  number       'one's' is a possessive pronoun, not a n
  karihaakiʔ                number       'one' is used as an indefinite pronoun, 
  karusik                   number       'one's' is a possessive pronoun, not a n
  karuusawiʔat              number       The definition does not contain any numb
  katahkawii-               number       'one's' is a possessive pronoun, not a n
  katahurah                 number       The definition does not contain any numb
  katakusiir-i              number       The definition does not contain any numb
  kataʔa                    number       'one's' is a possessive pronoun, not a n
  kataʔiwarik               number       The definition does not contain any numb
  katuusuʔ                  number       'one' is used as an indefinite pronoun, 
  kawiiraraah               number       'one's' is a possessive pronoun, not a n
  kaʔuuc/uc-                number       The definition does not contain any numb
  kickaruus                 number       'one' is used as an indefinite pronoun, 
  kickituuraʔuk             number       'one' is used as an indefinite article/p
  kictahiis                 number       'one' refers to a single spot, not a num
  kiica                     number       'one's' refers to a possessive pronoun, 
  kiickaa                   number       'one's' refers to a possessive pronoun, 
  kiirihuur                 number       'one' refers to a single stream, not a n
  kiiriitkatakus            number       'one's' refers to a possessive pronoun, 
  kiiriwisistaah            number       'one's' refers to a possessive pronoun, 
  kiis                      number       The definition has no numerical meaning.
  kiiskucuuʔ                number       'one' refers to a single person, not a n
  kiiskuhka                 number       'one's' refers to a possessive pronoun, 
  kikarik                   number       The definition has no numerical meaning.
  kiraruuc                  number       'one's' refers to a possessive pronoun, 
  kiriktacakipiitik         number       'one's' refers to a possessive pronoun, 
  kiriktacaparitaar         number       'one's' refers to a possessive pronoun, 
  kiriktahwiʔuuriirik       number       'one's' refers to a possessive pronoun, 
  kiripiitik                number       'one's' refers to a possessive pronoun, 
  kitarikuk                 number       'one' refers to a single object, not a n
  kituhaʔuk                 number       'one's' refers to a possessive pronoun, 
  paaraarurahwiitik         number       The definition uses 'one's' as a possess
  paarawaahaahkiir          number       The definition does not contain explicit
  paksawiʔat                number       The definition uses 'one's' as a possess
  paksaʔiwaata              number       The definition uses 'one's' as a possess
  paksiitik                 number       The definition uses 'one's' as a possess
  pakskaa                   number       The definition uses 'one's' as a possess
  pakskawarik               number       The definition uses 'one's' as a possess
  pakskiraruuc              number       The definition uses 'one's' as a possess
  pakspaahukasa             number       The definition uses 'one's' as a possess
  paʔaasii                  number       The word 'one' refers to 'a tail' (indef
  pirawiitik                number       The definition uses 'one's' as a possess
  raahisaask                number       The definition uses 'one's' as a possess
  raahiwihc                 number       The definition does not contain any nume
  raakusiʔ                  number       The definition uses 'one's' as a possess
  raaraʔuusik               number       The definition does not contain any nume
  raariciit                 number       The word 'one' refers to 'an arbor' (ind
  raarihuur                 number       The definition does not contain any nume
  raawihtariirat            number       The word 'one' refers to 'a blanket' (in
  raawihuk                  number       The word 'one' in 'one place to another'
  raawuu                    number       The word 'one' is used as a pronoun, not
  raaʔiistir                number       The definition does not relate to number
  raaʔiitusuuh/uh           number       The definition does not relate to number
  raaʔukta                  number       The word 'one's' is a possessive pronoun
  rahpahaat                 number       The word 'one's' is a possessive pronoun
  rahuur                    number       The word 'one' is used as a pronoun, not
  rahuuwicat                number       The definition does not relate to number
  rakis                     number       The definition does not relate to number
  raktiituʔ                 number       The definition does not relate to number
  rarikatawiitik            number       The word 'one's' is a possessive pronoun
  riicawirikisa             number       The definition does not relate to number
  riickawiiriitik           number       The word 'one' is used as a pronoun, not
  riickaʔat                 number       The definition does not relate to number
  riisat                    number       The definition does not relate to number
  riitki                    number       The word 'one's' is a possessive pronoun
  rikaawat                  number       The word 'one' is used as a pronoun, not
  rikatahak                 number       The definition does not relate to number
  rikatiriitik              number       The word 'one's' is a possessive pronoun
  rikaʔuus                  number       The word 'one' is used as a pronoun, not
  riwiicat                  number       The phrase 'one place to another' descri
  riwiiʔaar                 number       The definition does not relate to number
  ruhak                     number       No numerical meaning; 'one place to anot
  ruuciik                   number       'many' describes objects, not the core m
  ruucpaa                   number       Describes a state of being piled, not a 
  ruuhurahak                number       'one' refers to a person, not a numerica
  ruuhuruu                  number       'one's' refers to possession, not a nume
  ruukiraaruur              number       'one' refers to a matter, not a numerica
  taahpiiraah               number       'one's' refers to possession, not a nume
  taahpuh                   number       'one's' refers to possession, not a nume
  taawatatk                 number       'one on another' describes arrangement, 
  tahik                     number       No numerical meaning.                   
  tahpaa                    number       'first' refers to sequence, not a numeri
  tahuriwi-                 number       'one's' refers to possession, not a nume
  tahuriwiitik              number       'one's' refers to possession, not a nume
  takaaraahisuʔ             number       'all at once' refers to simultaneity, no
  takasis                   number       'many' describes objects, not the core m
  takus                     number       'one' refers to an object, not a numeric
  takustaah                 number       'one's' refers to possession, not a nume
  taraa                     number       Describes spatial relation, not a numeri
  tarahkisiciisat           number       No numerical meaning.                   
  tarahwii                  number       No numerical meaning.                   
  tatataʔat                 number       'one behind the other' describes arrange
  tatataʔat                 number       'one behind the other' describes arrange
  tawaruk                   number       'one' refers to a person, not a numerica
  tawihcitik                number       'first' refers to sequence, not a numeri
  taʔitiir                  number       'one' refers to a person, not a numerica
  tiiraʔuk                  number       The phrase 'one's child' uses 'one's' as
  tiiriwis-                 number       The phrase 'one's back' uses 'one's' as 
  uhuhtaparit               number       The definition describes speed and movem
  uhuhtawaruk               number       The phrase 'one's movements' uses 'one's
  uhura                     number       The definition describes a state of bein
  uhuriruk                  number       The phrase 'one's movements' uses 'one's
  uhuuricarahaar            number       The phrase 'one's actions' uses 'one's' 
  uhuuririkisat             number       The phrase 'one's balance' uses 'one's' 
  uhuuwicaks                number       The definition describes the act of cari
  ukstiic                   number       The phrases 'one's motions' and 'one's t
  uurikuk                   number       The phrase 'one's hands' uses 'one's' as
  waakuʔat                  number       The word 'one' in 'when one raises food'
  wakaahtaʔa                number       The definition describes vocal actions a
  wakaawiraariks            number       The phrases 'one whose words' and 'one's
  wakahuutaʔa               number       The phrase 'one's voice' uses 'one's' as
  waktiks [+ i-]            number       The definition describes honesty in spee
  wakuhkiriwis              number       The phrase 'one's speech' uses 'one's' a
  wakuruuwaawaktiik/tik-    number       The definition describes disrespectful s
  wararuus                  number       The definition describes a physical qual
  wariitaʔu                 number       The word means 'be warm', not a number. 
  warik [+ i-]              number       The word means 'aim/shoot', not a number
  waturika-                 number       The word means 'between'. While 'two' is
  wicaksaar                 number       The word means 'come to an age of consci
  wiicat                    number       The word means 'move'. 'one place' is an
  wiicat k                  number       The word means 'cook'. 'one piece' is an
  wiihkawiʔuu               number       The word means 'be one's right arm/side'
  wiituuruʔ                 number       The word means 'level ridge/hilltop'. 'o
  wiiwarii                  number       The word means 'weave, tip, bend, sway'.
  wiruuhuur                 number       The word means 'be determined'. 'one's' 
  wiruuʔa                   number       The word means 'brush, sweep, rake'. 'on
  wiruuʔat                  number       The word means 'sweep, brush, rake aside
  wita                      number       The word means 'be the last one'. While 
  Ø                         number       The word means 'be one's possession'. 'o
  Ø (ut...) ciksuʔ          number       The word means 'be on one's mind'. 'one'
  Asiicakahuuruʔ            plant        The word refers to a 'Society' related t
  Kicpiirahaatus            plant        The word refers to a 'Creek' related to 
  apitk                     plant        The word means 'break, as a bone', not a
  arasik                    plant        The word means 'cook'. While 'corn' is a
  asaaruʔ                   plant        The word refers to 'playing cards', not 
  aspit                     plant        The word refers to types of 'frog', whic
  atiraʔ                    plant        The definition refers to family members 
  caaka                     plant        The definition describes a verb of motio
  haastawikus               plant        The word describes the action 'be tied, 
  haastawikuusk             plant        The word describes the action 'tie to, t
  haskiiruʔ                 plant        The definition describes 'braided string
  haspaapicisuʔ             plant        The definition describes 'chain', which 
  hatkaahuuruʔ              plant        The word describes an 'elongated hole', 
  hawat                     plant        The word describes the action 'spit out,
  hiihkacak                 plant        The word describes the action 'hoe weeds
  hiihkasa                  plant        The word describes the state/action 'be 
  hiiwiik                   plant        The word describes the action 'chop weed
  hurarii                   plant        The word describes a general concept of 
  huukitawiitik             plant        The word describes the action 'sit down 
  ikiraaruur                plant        The definition describes a state of bein
  iriwirik                  plant        The definition describes a physical acti
  kaapit                    plant        The definition describes a 'wart', which
  kaarik                    plant        The definition describes a state of bein
  kacak                     plant        The action 'prick' or 'stab' is not inhe
  kakus                     plant        Describes a state of being in a containe
  kakuusk                   plant        Describes an action of placing on a surf
  kasar                     plant        'Branch' is used in a general sense of d
  kaʔiir                    plant        Describes a general action of putting so
  kaʔiitat                  plant        Describes an arrangement (line, row), no
  kaʔuuc/uc-                plant        Describes a general action of laying on 
  kickita                   plant        'Branch' is used in a general sense of d
  kiihaahpiriwuus           plant        A broom is a tool, not a plant.         
  kipaar                    plant        Describes a general state (damp, wet), n
  kipaasi                   plant        Describes a condition (shade), not a pla
  kipiriir                  plant        Describes general qualities (fresh, gree
  kiriikuʔ                  plant        Refers to a body part (eye), not a plant
  kita                      plant        Describes a general characteristic (bran
  kitahiis                  plant        Describes general qualities (dull, blunt
  kiwak                     plant        Refers to an animal sound (barking), not
  kiwak [+ raar-]           plant        Refers to an animal sound (barking), not
  paca                      plant        The definition describes physical condit
  pahaatuʔ                  plant        The definition describes a type of paint
  pira-                     plant        The definition describes actions (raking
  raakii                    plant        The definition describes a state or acti
  raakiiraʔuk               plant        The definition describes the act of stri
  raakuʔ                    plant        A 'box' or 'cardboard box' is an object;
  racapirat                 plant        The word is a verb ('grate'), not a plan
  rahkatiraah               plant        The word is a verb ('parch'), not a plan
  rahkiwir                  plant        The word is a verb ('roast'), not a plan
  raruksuʔ                  plant        A pipe bag is an object/container, not a
  riiciʔaahwaa              plant        A saw is a tool, not a plant, even if us
  rikatawihak               plant        This is a verb describing an action, not
  ruukiraawarik             plant        The definition describes an action (hurr
  ta                        plant        The definition describes a state of susp
  tahaakaarakus             plant        The definition describes a state of bein
  takipiir                  plant        The definition describes a state of bein
  taparihaʔuk               plant        The definition describes an action of mo
  tawakaʔu                  plant        The definition describes a sound (rustle
  tawaktaarik               plant        The definition describes a sound (ring, 
  tawiitik                  plant        The definition describes an action (perc
  taʔat                     plant        The definition describes an action (clim
  uktata-                   plant        The definition describes a location (bot
  uktataka-                 plant        The definition describes a location (bot
  uutkucuuʔ                 plant        "Sage grouse" and "prairie chicken" are 
  waarasik                  plant        "Cook" is an action, not a plant.       
  waasar                    plant        Describes a physical state/action, not a
  wararuus                  plant        Describes a texture, not primarily a pla
